key_base64	source_base64	official_english_base64	translation_base64
YWNjZXNzLXNpdA==	5bqn44KL	U2l0IERvd24=	7JWJ6riw
YWNjZXNzLXN0YW5k	56uL44Gh5LiK44GM44KL	U3RhbmQgVXA=	7J287Ja07ISc6riw
YWNjZXNzLW9wZW4=	6ZaL44GR44KLIC0gezB9	T3BlbiAtIHswfQ==	7Je06riwIC0gezB9
YWNjZXNzLW9wZW4tcGFzc2Vk	6ZaL44GR44KLIC0gezB9IC0g6YCa6YGO5riI44G/	T3BlbiAtIHswfSAoQWxyZWFkeSBQYXNzZWQp	7Je06riwIC0gezB9IC0g7Ya16rO8IOyZhOujjA==
YWNjZXNzLWNsb3NlZA==	44GT44Gu5omJ44Gv6ZaL44GL44Gq44GE	WW91IGNhbid0IG9wZW4gdGhpcyBkb29yLg==	7J20IOusuOydgCDsl7Trpqzsp4Ag7JWK64qU64uk
YWNjZXNzLWxvY2tlZC1hbm9tYWx5	5LuK44Gv6ZaL44GR44KL44GT44Go44GM44Gn44GN44Gq44GE	WW91IGNhbid0IG9wZW4gdGhpcyByaWdodCBub3cu	7KeA6riI7J2AIOyXtCDsiJgg7JeG64uk
YWNjZXNzLWxvY2tlZC1tZW1vcnk=	5LuK44Gv5YaN55Sf44Gn44GN44Gq44GE	WW91IGNhbid0IHBsYXkgdGhpcyBub3cu	7KeA6riI7J2AIOyerOyDne2VoCDsiJgg7JeG64uk
YWNjZXNzLXVzZQ==	5L2/44GG	VXNl	7IKs7Jqp7ZWY6riw
YWNjZXNzLWRldGVybWluZQ==	6KiY5oa244Gr44Gk44GE44Gm6Kmx44GZ	VGFsayBhYm91dCB0aGUgbWVtb3J5	6riw7Ja17JeQIOuMgO2VtCDsnbTslbzquLDtlZjquLA=
YWNjZXNzLXNlYXJjaA==	6Kq/44G544KL	RXhhbWluZQ==	7KGw7IKs7ZWY6riw
YWNjZXNzLWluZm8tbWVtb3J5	6KiY5oa244Gu5pat54mH44CMezB944CN	TWVtb3J5IEZyYWdtZW50ICJ7MH0i	6riw7Ja17J2YIOyhsOqwgeOAjHswfeOAjQ==
YWNjZXNzLWluZm8tbWVtb3J5LWNvbXBsZXRlZA==	5YaN55Sf5riI44G/IC0gezB9	UGxheWVkIC0gezB9	7J6s7IOdIOyZhOujjCAtIHswfQ==
YWNjZXNzLWluZm8tbWVtb3J5LWRpc2Nsb3NlZA==	6Zai5L+C44Ki44Kk44OG44OgIDogezB9	UmVsYXRlZCBpdGVtOiB7MH0=	6rSA66CoIOyVhOydtO2FnCA6IHswfQ==
YWNjZXNzLWluZm8tYm9udXM=	56K65a6a44Oc44O844OK44K5IC0gezB9	Q29uZmlybWVkIEJvbnVzIC0gezB9	7ZmV7KCVIOuztOuEiOyKpCAtIHswfQ==
YWNjZXNzLWluZm8tbm8tbWVtb3J5	5oCd44GE5Ye644Gb44KL6KiY5oa244GM44Gq44GE	VGhlcmUgYXJlIG5vIG1lbW9yaWVzIHRvIHNlZS4=	65ag7Jis66a0IOyImCDsnojripQg6riw7Ja17J20IOyXhuuLpA==
YWNjZXNzLWluZm8taXRlbS1mYWlsZWQ=	44GT44Gu6KiY5oa244Go44Gv6Zai5L+C44GM44Gq44GE	VGhpcyBoYXMgbm90aGluZyB0byBkbyB3aXRoIHRoaXMgbWVtb3J5Lg==	7J20IOq4sOyWteqzvOuKlCDqtIDqs4TqsIAg7JeG64uk
YWNjZXNzLWluZm8taXRlbS12YWxpZA==	5omA5oyB44Ki44Kk44OG44Og44Gu44Gp44KM44GL44GM6KiY5oa244Go6Zai5L+C	WW91IGhhdmUgYW4gaXRlbSByZWxhdGVkIHRvIHRoaXMgbWVtb3J5Lg==	67O07JygIOyVhOydtO2FnCDspJEg7ZWY64KY6rCAIOq4sOyWteqzvCDqtIDroKjrkJjslrQg7J6I64uk
YWNjZXNzLWluZm8taXRlbS1jb3VudA==	5omA5oyB5pWwIDogezB9	Rm91bmQ6IHswfQ==	67O07JygIOyImCA6IHswfQ==
YWNjZXNzLWluZm8tcHJvZ3Jlc3M=	44K544OI44O844Oq44O86YCy6KGM	UHJvZ3Jlc3MgU3Rvcnk=	7Iqk7Yag66asIOynhO2WiQ==
c2VsZWN0aW9uLWl0ZW0tbmVlZA==	ezB9IOOBjOW/heimgQ==	WW91IG5lZWQgInswfSI=	ezB9IO2VhOyalA==
c2VsZWN0aW9uLWl0ZW0tdXNl	ezB9IOOCkua2iOiyuw==	VXNlICJ7MH0i	ezB9IOyGjOu5hA==
c2VsZWN0aW9uLXBhcmFtLW5lZWQ=	ezB9IOOBjCB7MX0g5b+F6KaB	WW91IG5lZWQgInswfSIgeCB7MX0=	ezB9IHsxfeqwnCDtlYTsmpQ=
c2VsZWN0aW9uLXBhcmFtLXVzZQ==	ezB9IOOCkiB7MX0g5raI6LK7	VXNlICJ7MH0iIHggezF9	ezB9IHsxfeqwnCDshozruYQ=
c2VsZWN0aW9uLXRva2VuLW5lZWQ=	ezB9IOOBjOW/heimgQ==	WW91IG5lZWQgInswfSI=	ezB9IO2VhOyalA==
c2VsZWN0aW9uLXRva2VuLXVzZQ==	ezB9IOOCkua2iOiyuw==	VXNlICJ7MH0i	ezB9IOyGjOu5hA==
Y29uZGl0aW9uLW1lbW9yeS1jb3VudA==	5YaN55Sf44GX44Gf6KiY5oa2IHswfSAvIHsxfSA=	UGxheWVkIE1lbW9yaWVzIHswfS97MX0=	7J6s7IOd7ZWcIOq4sOyWtSB7MH0gLyB7MX0g
Y29uZGl0aW9uLW1lbW9yeS1jb21wbGV0ZWQ=	6KiY5oa244Gu5pat54mH44CMezB944CN44KS6KaL44KL	V2F0Y2ggTWVtb3J5IEZyYWdtZW50ICJ7MH0i	6riw7Ja17J2YIOyhsOqwgeOAjHswfeOAjSDrs7TquLA=
Y29uZGl0aW9uLWZsb29yLWluZGV4	RkxPT1IgezB9IOOBq+WIsOmBlOOBmeOCi++8iOePvuWcqCA6IHsxfe+8iQ==	UmVhY2ggZmxvb3IgezB9IChDdXJyZW50bHkgb24gezF9KQ==	RkxPT1IgezB97JeQIOuPhOuLrO2VmOq4sCAo7ZiE7J6sIDogezF9KQ==
aW5mZXJlbmNlLWNhbmNlbA==	5oCd44GE5Ye644Gb44Gq44GE	WW91IGNhbid0IHJlbWVtYmVyLg==	6riw7Ja164KY7KeAIOyViuuKlOuLpA==
aW5mZXJlbmNlLWVycm9y	6Kqk44Gj44Gm44GE44KL44Kt44O844Ov44O844OJ44GM44GC44KK44G+44GZ	VGhlIHNlbnRlbmNlIGNvbnRhaW5zIGEgd3JvbmcgS2V5d29yZC4=	7J6Y66q765CcIO2CpOybjOuTnOqwgCDsnojsirXri4jri6Q=
aW5mZXJlbmNlLW5vLXRva2Vu	5b+F6KaB44Gq44Kt44O844Ov44O844OJ44KS5omA5oyB44GX44Gm44GE44G+44Gb44KTICggezB9IC8gezF9ICk=	WW91IGRvbid0IGhhdmUgYWxsIHRoZSBuZWNlc3NhcnkgS2V5d29yZHMuICh7MH0vezF9KQ==	7ZWE7JqU7ZWcIO2CpOybjOuTnOulvCDrs7TsnKDtlZjqs6Ag7J6I7KeAIOyViuyKteuLiOuLpCAoIHswfSAvIHsxfSAp
aW5mZXJlbmNlLWZhaWxlZA==	44GT44KM5Lul5LiK5oCd44GE5Ye644Gb44Gq44GE4oCm4oCm	WW91IGNhbid0IHJlbWVtYmVyIGFueSBtb3JlLi4u	642UIOydtOyDgSDrlqDsmKzrprQg7IiYIOyXhuuLpOKApuKApg==
aW5mZXJlbmNlLW1pc3M=	44Kt44O844Ov44O844OJ44KS6ZuG44KB44CB5q2j44GX44GE5LiA5paH44Gr44GZ44KL5b+F6KaB44GM44GC44KK44G+44GZ	WW91IG5lZWQgdG8gZmluZCB0aGUgcmlnaHQgS2V5d29yZHMgdG8gY29tcGxldGUgdGhlIHNlbnRlbmNlIGNvcnJlY3RseS4=	7YKk7JuM65Oc66W8IOuqqOyVhCDsmKzrsJTrpbgg66y47J6l7J2EIOyZhOyEse2VtOyVvCDtlanri4jri6Q=
ZGV0ZXJtaW5lLXRpdGxl	6KiY5oa244Gu5pat54mH44CMezB944CN44Gv6Kqw44Gu6KiY5oa277yf	V2hvIGRvZXMgdGhlIG1lbW9yeSBmcmFnbWVudCAiezB9IiBiZWxvbmcgdG8/	6riw7Ja17J2YIOyhsOqwgeOAjHswfeOAjeydgCDriITqtazsnZgg6riw7Ja17J286rmMPw==
ZGV0ZXJtaW5lLXN1Ym1pdA==	56K65a6a	Q29uZmlybQ==	7ZmV7KCV
ZGV0ZXJtaW5lLWNvcnJlY3Q=	6KiY5oa244Gu5pat54mH44CMezB944CN44GMPGJyPjxyZWQ+ezF9PC9yZWQ+PGJyPuOBruOCguOBruOBoOOBqOeiuuWumuOBl+OBvuOBl+OBnw==	VGhlIE1lbW9yeSBGcmFnbWVudCAiezB9Ijxicj53YXMgY29uZmlybWVkIHRvIGJlPGJyPjxyZWQ+ezF9PC9yZWQ+J3M=	6riw7Ja17J2YIOyhsOqwgeOAjHswfeOAjeydtDxicj48cmVkPnsxfTwvcmVkPjxicj7snZgg6rKD7J6E7J2EIO2Zleygle2WiOyKteuLiOuLpA==
Y2hvaWNlLXRpdGxl	44Gp44Gh44KJ44GMIDxyZWQ+ezB9PC9yZWQ+IOOBruiomOaGtu+8nw==	V2hpY2ggbWVtb3J5IGJlbG9uZ3MgdG8gPHJlZD57MH08L3JlZD4/	7Ja064qQIOyqveydtCA8cmVkPnswfTwvcmVkPuydmCDquLDslrXsnbzquYw/
Y2hvaWNlLW1lbW9yeQ==	6KiY5oa244Gu5pat54mHIOOAjHswfeOAjSA=	TWVtb3J5IEZyYWdtZW50OiAiezB9Ig==	6riw7Ja17J2YIOyhsOqwgSDjgIx7MH3jgI0g
Y2hvaWNlLXNlbGVjdA==	6YG45oqe	U2VsZWN0	7ISg7YOd
Y2hvaWNlLWNvcnJlY3Q=	6KiY5oa244Gu5pat54mH44CMezB944CN44GMPGJyPjxyZWQ+ezF9PC9yZWQ+PGJyPuOBruOCguOBruOBoOOBqOeiuuWumuOBl+OBvuOBl+OBnw==	VGhlIE1lbW9yeSBGcmFnbWVudCAiezB9Ijxicj53YXMgY29uZmlybWVkIHRvIGJlPGJyPjxyZWQ+ezF9PC9yZWQ+J3M=	6riw7Ja17J2YIOyhsOqwgeOAjHswfeOAjeydtDxicj48cmVkPnsxfTwvcmVkPjxicj7snZgg6rKD7J6E7J2EIO2Zleygle2WiOyKteuLiOuLpA==
bWVtb3J5LWNhbmNlbA==	44GT44KM5Lul5LiK5oCd44GE5Ye644Gb44Gq44GE	WW91IGNhbid0IHJlbWVtYmVyIGFueSBtb3JlLg==	642UIOydtOyDgSDrlqDsmKzrprQg7IiYIOyXhuuLpA==
bWVtb3J5LXJlYWQ=	5pei6Kqt	UmVhZA==	7J297J2M
bWVtb3J5LWdldHRpbmc=	6KiY5oa244Gu5pat54mHIOOAjHswfeOAjSDjgpLnmbropos=	Rm91bmQgYSBtZW1vcnkgZnJhZ21lbnQ6ICJ7MH0i	6riw7Ja17J2YIOyhsOqwgSDjgIx7MH3jgI0g67Cc6rKs
bWVtb3J5LW92ZXJ2aWV3	6KiY5oa244Gu5pat54mHIOS4gOimp++8iCB7MH0gLyB7MX0g77yJ	TWVtb3J5IEZyYWdtZW50IExpc3QgKHswfS97MX0p	6riw7Ja17J2YIOyhsOqwgSDrqqnroZ0gKCB7MH0gLyB7MX0gKQ==
bWVtb3J5LXVua25vd24=	5LiN5piO	VW5rbm93bg==	67aI66qF
bWVtb3J5LXVucmVzb2x2ZWQ=	44Kt44O844Ov44O844OJ5pyq6Kej5rG6	S2V5d29yZCBwYXJ0IGluY29tcGxldGU=	7YKk7JuM65OcIOuvuO2VtOqysA==
bWVtb3J5LXN1Y2Nlc3M=	6KiY5oa244Gu5YaN55Sf44Gr5oiQ5Yqf	TWVtb3J5IHBsYXllZCBzdWNjZXNzZnVsbHk=	6riw7Ja1IOyerOyDnSDshLHqs7U=
bWVtb3J5LWl0ZW0tZmFpbGVk	ezB9IC0g5aSx5pWX	ezB9IC0gRmFpbGVk	ezB9IC0g7Iuk7Yyo
Y2hlY2staXRlbS1zdWNjZXNz	6KiY5oa244Gu5YaN55Sf44Gr5oiQ5YqfIC0gezB9	TWVtb3J5IHBsYXllZCBzdWNjZXNzZnVsbHkgLSB7MH0=	6riw7Ja1IOyerOyDnSDshLHqs7UgLSB7MH0=
Y2hlY2staXRlbS1mYWlsZWQ=	44GT44KM5Lul5LiK5oCd44GE5Ye644Gb44Gq44GE4oCm4oCm	WW91IGNhbid0IHJlbWVtYmVyIGFueSBtb3JlLi4u	642UIOydtOyDgSDrlqDsmKzrprQg7IiYIOyXhuuLpOKApuKApg==
Y2hlY2staXRlbS1taXNz	44GT44Gu44Ki44Kk44OG44Og44Gv6KiY5oa244Go6Zai5L+C44Gq44GE44KI44GG44Gg	VGhpcyBpdGVtIHNlZW1zIHRvIGJlIHVucmVsYXRlZCB0byB0aGlzIG1lbW9yeS4=	7J20IOyVhOydtO2FnOydgCDquLDslrXqs7wg6rSA6rOE7JeG64qUIOqygyDqsJnri6Q=
Y2hlY2staXRlbS1lbXB0eQ==	6KiY5oa244Go6Zai5L+C44GX44Gf44Ki44Kk44OG44Og44KS572u44GP5b+F6KaB44GM44GC44KL44KI44GG44Gg	WW91IG5lZWQgdG8gcGxhY2UgYW4gaXRlbSBjb25uZWN0ZWQgdG8gdGhlIG1lbW9yeS4=	6riw7Ja16rO8IOq0gOugqOuQnCDslYTsnbTthZzsnYQg64aT7JWE7JW8IO2VoCDqsoMg6rCZ64uk
dG9hc3QtZmluZC10b2tlbg==	44Kt44O844Ov44O844OJIOOAjHswfeOAjSDjgpLlhaXmiYs=	Rm91bmQgYSBLZXl3b3JkOiAiezB9Ig==	7YKk7JuM65OcIOOAjHswfeOAjSDtmo3rk50=
dG9hc3QtZmluZC1pdGVt	44CMezB944CNIOOCkuWFpeaJiw==	Rm91bmQ6ICJ7MH0i	44CMezB944CNIO2ajeuTnQ==
Y29udHJvbC1pbnZlbnRvcnk=	44Ki44Kk44OG44Og5YiH5pu/	Q2hhbmdlIEl0ZW0=	7JWE7J207YWcIOyghO2ZmA==
Y29udHJvbC1za2lw	44K544Kt44OD44OX	U2tpcA==	7Iqk7YK1
Y29udHJvbC11bnNraXA=	44K544Kt44OD44OX5YGc5q2i	U3RvcCBTa2lwcGluZw==	7Iqk7YK1IOykkeyngA==
Y29udHJvbC1zZWxlY3QtbWVtb3J5	6KiY5oa244KS56K66KqN44GZ44KL	Q2hlY2sgTWVtb3J5	6riw7Ja1IO2ZleyduA==
Y29udHJvbC1pdGVt	44Ki44Kk44OG44Og5pW055CG	TW92ZSBJdGVtcw==	7JWE7J207YWcIOygleumrA==
YWN0aXZpdHktY2xlYW4=	57ea44KS44KI44GR44Gm6Zqg44KM44Gm44GE44KL44Kq44OW44K444Kn44Kv44OI44KS5o6i44GZ	QXZvaWQgdGhlIGxpbmVzIGFuZCBmaW5kIHRoZSBoaWRkZW4gb2JqZWN0	7ISg7J2EIO2UvO2VtOyEnCDsiKjslrQg7J6I64qUIOyYpOu4jOygne2KuOulvCDssL7ripTri6Q=
YWN0aXZpdHktdHVuZQ==	55+i5Y2w44Gu5YCk44Gr44Gq44KL44KI44GGM+OBpOOBruODkeODqeODoeODvOOCv+OCkuiqv+aVtOOBmeOCiw==	QWRqdXN0IHRoZSB0aHJlZSBwYXJhbWV0ZXJzIHRvIHJlYWNoIHRoZSBjb3JyZWN0IHZhbHVl	7ZmU7IK07ZGc7J2YIOqwkuydtCDrkJjrj4TroZ0g7IS4IOqwgOyngCDtjIzrnbzrr7jthLDrpbwg7KGw7KCV7ZWc64uk
YWN0aXZpdHktY2lyY2xl	44K/44Kk44Of44Oz44Kw44KI44GP44Oc44K/44Oz44KS5oq844GZ	UHJlc3MgdGhlIGJ1dHRvbiBhdCB0aGUgY29ycmVjdCB0aW1pbmc=	7YOA7J2067CN7JeQIOunnuy2sCDrsoTtirzsnYQg64iE66W464uk
YWN0aXZpdHktd29yZA==	5ZCM44GY5paH5a2X5YiX44KS6KaL44Gk44GR44KL	RmluZCB0aGUgc2ltaWxhciB3b3Jkcw==	6rCZ7J2AIOusuOyekOyXtOydhCDssL7ripTri6Q=
dGl0bGUtc3RhcnQ=	44Gv44GY44KB44KL	U3RhcnQ=	7Iuc7J6R
dGl0bGUtb3B0aW9u	44Kq44OX44K344On44Oz	U2V0dGluZ3M=	7Ji17IWY
dGl0bGUtZXhpdA==	57WC5LqG	UXVpdA==	7KKF66OM
dGl0bGUtZW5kbGVzcw==	5oCd44GE6L+U44GZ	UmVtaW5pc2Nl	7ZqM7IOB7ZWY6riw
dGl0bGUtc3VydmV5	44Ki44Oz44Kx44O844OI44Gr5Zue562U	QW5zd2VyIFN1cnZleQ==	7ISk66y47JeQIOydkeuLtQ==
dGl0bGUtZW5kaW5n	44Ko44Oz44OH44Kj44Oz44Kw	RW5kaW5n	7JeU65Sp
cHJlcGFyZS1xdWVzdC10YXJnZXQ=	6KiY5oa244Gu5pat54mH44KSIHswfSDjgaTlho3nlJ/jgZnjgos=	UGxheSB7MH0gbWVtb3J5IGZyYWdtZW50L3M=	6riw7Ja17J2YIOyhsOqwgeydhCB7MH3qsJwg7J6s7IOd7ZWc64uk
cHJlcGFyZS1tZW1vcnktY291bnQ=	5oCd44GE5Ye644GX44Gf6KiY5oa244Gu5pat54mHIDogezB9	UmVtZW1iZXJlZCBtZW1vcnkgZnJhZ21lbnRzOiB7MH0=	65ag7Jis66awIOq4sOyWteydmCDsobDqsIEgOiB7MH0=
cmVzdWx0LW1lc3NhZ2Utc3VjY2Vzcw==	4pSA4pSA6KiY5oa244KS6ZuG44KB44Gm44CB5o6i57Si44KS5a6M5LqG44GX44Gf44CC	Li4uIEkgZm91bmQgbWVtb3JpZXMgYW5kIGV4cGxvcmVkIGFzIG11Y2ggYXMgSSBjb3VsZC4=	4pSA4pSA6riw7Ja17J2EIOuqqOyVhCDtg5Dsg4nsnYQg66eI7LOk64ukLg==
cmVzdWx0LW1lc3NhZ2UtZmFpbGVk	4pSA4pSA5by344GE55yg5rCX44Gr6KWy44KP44KM44CB5oSP6K2Y44KS5aSx44Gj44Gf44CC	Li4uIFRha2VuIGJ5IHN1ZGRlbiBkcm93c2luZXNzLCBJIHBhc3NlZCBvdXQu	4pSA4pSA6rCV7ZWcIOyhuOydjOydtCDrja7ss5Ag7J2Y7Iud7J2EIOyeg+yXiOuLpC4=
cmVzdWx0LW1lc3NhZ2UtcGlzdG9s	4pSA4pSA5ouz6YqD44Gn5bCR5aWz44KS5pKD44Gj44Gf44Gu44Gv44CB6Ieq5YiG44GL44KC44GX44KM44Gq44GE44CC	Li4uIE1heWJlIEkgd2FzIHRoZSBvbmUgd2hvIHNob3QgdGhlIGdpcmwu	4pSA4pSA7IaM64WA66W8IOq2jOy0neycvOuhnCDsj5wg6rG0IOuCmOydvOyngOuPhCDrqqjrpbjri6Qu
cmVzdWx0LW1lc3NhZ2UtZW5kMDA=	4pSA4pSA6YqD5aOw44Gu44GC44Go44CB5YuV44GL44Gq44GP44Gq44Gj44Gf44Kr44OI44Oq44O844OK44KS6KaL44Gk44GR44Gf44CC	Li4uIEFmdGVyIGhlYXJpbmcgdGhlIGd1bnNob3QsIEkgZm91bmQgS2F0cmluYSwgbG9va2luZyB1bmNvbnNjaW91cy4=	4pSA4pSA7LSd7ISx7J20IOuTpOumsCDrkqQsIOybgOyngeydtOyngCDslYrripQg7Lm07Yq466as64KY66W8IOuwnOqyrO2WiOuLpC4=
cmVzdWx0LW1lc3NhZ2UtZW5kMDE=	4pSA4pSA44Kr44OI44Oq44O844OK44KS5pKD44Gj44Gf54qv5Lq644CB5YWt5Lq655uu44Gv5pys5b2T44Gr44GE44KL44Gu44GL77yf	Li4uIElzIHRoZXJlIHJlYWxseSBhIHNpeHRoIHBlcnNvbiB3aG8gc2hvdCBLYXRyaW5hPw==	4pSA4pSA7Lm07Yq466as64KY66W8IOyPnCDrspTsnbgsIOyXrOyEryDrsojsp7gg7IKs656M7J2AIOygleunkCDsobTsnqztlZjripQg6rG46rmMPw==
cmVzdWx0LW1lc3NhZ2UtZW5kMDI=	4pSA4pSA55uu6Kaa44KB44Gf44GC44Go44Gr5L2V44GM5b6F44Gj44Gm44GE44KL44Gu44GL44CC6Kqw44KC44GM44Gd44KM44KS5oGQ44KM44Gm44GE44KL44CC	Li4uIFdoYXQgd2lsbCB3ZSBoYXZlIHRvIGZhY2Ugd2hlbiB3ZSB3YWtlIHVwPyBXZSdyZSBhbGwgc2NhcmVkIG9mIHRoYXQu	4pSA4pSA64iI7J2EIOucrCDrkqQg66y07JeH7J20IOq4sOuLpOumrOqzoCDsnojsnYTquYwuIOuqqOuRkOqwgCDqt7jqsoPsnYQg65GQ66Ck7JuM7ZWY6rOgIOyeiOuLpC4=
cmVzdWx0LW1lc3NhZ2UtZW5kMDM=	4pSA4pSA5ZG944Gu6YeN44GV44CC44K+44O844Kk44Gu6KiA6JGJ44Gv44CB44Kr44OI44Oq44O844OK44Gr5bGK44GE44Gf44Gg44KN44GG44GL44CC	Li4uIExpZmUgaXMgYSByZXNwb25zaWJpbGl0eS4gRGlkIEthdHJpbmEgcmVhbGx5IHVuZGVyc3RhbmQgWm9lJ3Mgd29yZHM/	4pSA4pSA66qp7Iio7J2YIOustOqyjC4g7KGw7J207J2YIOunkOydgCDsubTtirjrpqzrgpjsl5Dqsowg64u/7JWY7J2E6rmMLg==
cmVzdWx0LW1lc3NhZ2UtZW5kMDQ=	4pSA4pSA6KiY5oa244KS5Y+W44KK5oi744GX44Gm44CB55yg44KK44GL44KJ6Kaa44KB44KL44CC	Li4uIFdpdGggbXkgbWVtb3JpZXMgYmFjaywgaXQncyB0aW1lIHRvIHdha2UgdXAu	4pSA4pSA6riw7Ja17J2EIOuQmOywvuqzoCDsnqDsl5DshJwg6rmo7Ja064Kc64ukLg==
cmVzdWx0LW1lc3NhZ2UtZW5kMDU=	4pSA4pSA5Zyw55CD44G444CC	Li4uIFRvIEVhcnRoLg==	4pSA4pSA7KeA6rWs66GcLg==
cmVzdWx0LW5leHQtZmxvb3I=	5qyh44Gu6ZqO5bGk44G4	TmV4dCBMZXZlbA==	64uk7J2MIOy4teycvOuhnA==
cmVzdWx0LW5leHQtZGF5	5qyh44Gu5pel44G4	TmV4dCBEYXk=	64uk7J2MIOuCoOuhnA==
cmVzdWx0LWV4aXQ=	5L+d5a2Y44GX44Gm44K/44Kk44OI44Or44G4	U2F2ZSBhbmQgZ28gYmFjayB0byB0aXRsZQ==	7KCA7J6l7ZWY6rOgIO2DgOydtO2LgOuhnA==
cmVzdWx0LWJvbnVz	44Oc44O844OK44K5542y5b6X	Qm9udXMgT2J0YWluZWQ=	67O064SI7IqkIO2ajeuTnQ==
cmVzdWx0LXRpbGU=	5Zug5a2Q44K544OI44Os44O844K4	RmlnbWVudCBTdG9yYWdl	7J247J6QIOuztOq0gO2VqA==
aXRlbS1lZmZlY3Qtc2xlZXBpbmVzcw==	5omA5oyB5Lit44Gu44G/5oSP6K2Y44KSIHswfQ==	ezB9IHRvIFZpZ29yIHdoZW4gaW4geW91ciBwb3NzZXNzaW9u	67O07JygIOykkeyXkOunjCDsnZjsi50gezB9
aXRlbS1lZmZlY3QtbWl0aWdhdGlvbi1kb29y	ezB9IOOBruaJieOCkumWi+OBkeOCi+OCs+OCueODiOOCkiB7MX0=	ezF9IGNvc3QgdG8gb3BlbiB7MH0gZG9vcnM=	ezB9IOusuOydhCDsl6zripQg67mE7JqpIHsxfQ==
aXRlbS1lZmZlY3QtbWl0aWdhdGlvbi1tZW1vcnk=	6KiY5oa25YaN55Sf44Gu44Kz44K544OI44KSIHswfQ==	ezB9IGNvc3QgdG8gcGxheSBtZW1vcmllcw==	6riw7Ja1IOyerOyDnSDruYTsmqkgezB9
aXRlbS1lZmZlY3Qtd2FycA==	ezB9IOOBq+ODr+ODvOODl++8iOWtmOWcqOOBl+OBquOBhOWgtOWQiOOBr+WKueaenOOBquOBl++8iQ==	V2FycCB0byB7MH0gKG9ubHkgaGFzIGVmZmVjdCBpZiBpdCBleGlzdHMp	ezB9KOycvCnroZwg7JuM7ZSEICjsobTsnqztlZjsp4Ag7JWK7Jy866m0IO2aqOqzvCDsl4bsnYwp
aXRlbS1lZmZlY3QtaW52ZW50b3J5	44Ki44Kk44OG44Og5omA5oyB5p6gIHswfQ==	Q2FuIGhvbGQgezB9IGl0ZW1z	7JWE7J207YWcIOyGjOyngCDsubggezB9
aXRlbS1lZmZlY3QtZHJvcA==	ezB9IOOBruWHuuePvueOhyB7MX0=	ezF9IGNoYW5jZSBvZiB7MH0gYXBwZWFyaW5n	ezB9IOy2nO2YhOycqCB7MX0=
Ym9udXMtdGl0bGU=	542y5b6X44GZ44KL44Oc44O844OK44K544KS6YG45oqe44GX44Gm44GP44Gg44GV44GEIO+8iCDmrovjgoogOiB7MH0g77yJ	Q2hvb3NlIHdoaWNoIGJvbnVzIHRvIGdldCAoezB9IGxlZnQp	7ZqN65Od7ZWgIOuztOuEiOyKpOulvCDshKDtg53tlbQg7KO87IS47JqUICjrgqjsnYAg7Zqf7IiYIDogezB9KQ==
Ym9udXMtdGl0bGUtaXRlbQ==	44Ki44Kk44OG44Og5YWl5omL	R2V0IGl0ZW0=	7JWE7J207YWcIO2ajeuTnQ==
Ym9udXMtZGVzY3JpcHRpb24taXRlbQ==	44Ki44Kk44OG44Og44CMezB944CN44KS5YWl5omL44GX44G+44GZ44CC	WW91IHdpbGwgZ2V0IGFuIGl0ZW06ICJ7MH0i	7JWE7J207YWc44CMezB944CN7J2EIO2ajeuTne2VqeuLiOuLpC4=
Ym9udXMtdGl0bGUta2V5	6Y215YWl5omL	R2V0IGtleQ==	7Je07IegIO2ajeuTnQ==
Ym9udXMtZGVzY3JpcHRpb24ta2V5	44CMezB944CN44KSMeOBpOWFpeaJi+OBl+OBvuOBmeOAgg==	WW91IHdpbGwgZ2V0IDEgInswfSI=	44CMezB944CNIDHqsJzrpbwg7ZqN65Od7ZWp64uI64ukLg==
Ym9udXMtdGl0bGUtc2xlZXBpbmVzcw==	5oSP6K2YIOWbnuW+qQ==	Vmlnb3I=	7J2Y7IudIO2ajOuztQ==
Ym9udXMtbmFtZS1zbGVlcGluZXNz	5oSP6K2YICt7MH0=	Vmlnb3IgK3swfQ==	7J2Y7IudICt7MH0=
Ym9udXMtZGVzY3JpcHRpb24tc2xlZXBpbmVzcw==	5oSP6K2Y44KSIHswfSDlm57lvqnjgZfjgb7jgZnjgII=	UmVzdG9yZXMgezB9IFZpZ29yLg==	7J2Y7Iud7J2EIHswfSDtmozrs7Xtlanri4jri6Qu
Ym9udXMtdGl0bGUtdGlsZQ==	5Zug5a2Q5YWl5omL	T2J0YWluIEZpZ21lbnQ=	7J247J6QIO2ajeuTnQ==
Ym9udXMtZGVzY3JpcHRpb24tdGlsZQ==	5Yq55p6c77yaezB9	RWZmZWN0OiB7MH0=	7Zqo6rO8OiB7MH0=
Ym9udXMtdGl0bGUtY2FuY2Vs	44Kt44Oj44Oz44K744Or	Q2FuY2Vs	7Leo7IaM
Ym9udXMtbmFtZS1jYW5jZWw=	44Kt44Oj44Oz44K744Or	Q2FuY2Vs	7Leo7IaM
Ym9udXMtZGVzY3JpcHRpb24tY2FuY2Vs	5L2V44KC5Y+X44GR5Y+W44KJ44Ga57WC5LqG44GX44G+44GZ44CC	Q2FuY2VsIHdpdGhvdXQgcmVjZWl2aW5nIGFueSBib251cy4=	7JWE66y06rKD64+EIOuwm+yngCDslYrqs6Ag7KKF66OM7ZWp64uI64ukLg==
